birthpl,nin,recp,ch71,en71,wsppc,dens71,moldyed,birthlat,birthlong,Schools73new,Schools74new,Schools75new,Schools76new,Schools77new,Schools78new,pop71new,ch71new,totinnew,ninnew,nch71new,atsc71new,en71newish,en71new,nen71new,nen71newish
1206,2.366251707077026,1,181722,.1579220443964005,.4189988374710083,129.5751953125,7.282785892486572,2.886443292821888,99.54089660436894,15,15,75,75,125,125,593584,181722,430,2.366251707077026,487959,93740,.1579220443964005,.192106306552887,.80789369,.84207797
1207,2.366644144058228,1,204509,.1849538832902908,.3461148738861084,151.5809173583984,8.194803237915039,2.979833709606827,99.03807313527005,17,17,85,85,140,140,662257,204509,484,2.366644144058228,542534,122487,.1849538832902908,.2257683426141739,.77423167,.81504613
1208,2.779131174087524,1,55413,.2051842510700226,.5946198701858521,58.7504768371582,9.511322021484375,2.737796457459433,98.25687431130527,8,8,23,23,46,46,184829,55413,154,2.779131174087524,147467,37924,.2051842510700226,.2571693956851959,.74283063,.79481578
1209,2.800739049911499,1,51415,.2329761236906052,.5793935060501099,85.63986968994141,8.782710075378418,3.122678351387173,98.29925026790794,10,10,20,20,42,42,182156,51415,144,2.800739049911499,151775,42438,.2329761236906052,.2796112596988678,.72038877,.76702386
1210,1.714515209197998,1,440941,.1763578057289124,.2812020182609558,329.7158203125,7.555445671081543,3.434181727817765,98.84758320216085,30,30,157,157,191,191,1430637,440941,756,1.714515209197998,1172976,252304,.1763578057289124,.2150973230600357,.78490269,.82364219
1211,1.675683259963989,0,159338,.1611773073673248,.4243857562541962,82.95417022705078,7.134956359863281,3.715522087392719,98.21963616768055,15,15,48,48,53,53,519459,159338,232,1.456024408340454,422035,83725,.1611773073673248,.198384016752243,.80161595,.83882272
1271,4.836154460906982,0,11993,.2672240138053894,.8457475900650024,3838.45458984375,10.84610271453857,1.72872691838962,98.79802806220226,2,2,16,16,11,11,42223,11993,58,4.836154460906982,35313,11283,.2672240138053894,.3195140659809113,.68048596,.73277599
1272,3.330904722213745,0,9607,.2167003899812698,1.30299961566925,579.3793334960938,8.753133773803711,2.941756073037253,99.78163578047293,1,1,11,11,4,4,33604,9607,32,3.330904483795166,28228,7282,.2167003899812698,.2579708099365234,.74202919,.78329962
1273,2.729023933410645,1,37376,.3183499574661255,.4402779638767242,1846.17138671875,10.29785919189453,2.968779260377104,99.05505080590864,2,2,24,24,25,25,129232,37376,102,2.729023933410645,108991,41141,.3183499574661255,.377471536397934,.62252843,.68165004
1274,7.735584259033203,1,8532,.2421653419733047,1.235402822494507,977.8709716796875,9.014675140380859,3.325987867944716,99.14037180110677,1,1,10,10,22,22,30314,8532,66,7.735583305358887,25472,7341,.2421653419733047,.2881987988948822,.71180117,.75783467
